TIME [s]	Accel. [cm/s^2
32.66	17.337
32.68	13.258
32.70	9.417
32.72	8.024
32.74	5.816
32.76	0.217
32.78	-5.061
32.80	-5.400
32.82	2.411
32.84	12.008
32.86	18.749
32.88	23.591
32.90	24.583
32.92	21.870
32.94	5.611
32.96	-12.192
32.98	-14.719
33.00	-14.255
33.02	-14.391
33.04	-12.464
33.06	-7.551
33.08	-5.373
33.10	-5.535
33.12	-2.998
33.14	2.555
33.16	7.439
33.18	8.131
33.20	5.534
33.22	0.666
33.24	-0.167
33.26	2.927
33.28	6.295
33.30	8.242
33.32	5.803
33.34	-5.263
33.36	-13.821
33.38	-10.131
33.40	0.506
33.42	8.539
33.44	10.915
33.46	9.035
33.48	3.061
33.50	-4.681
33.52	-8.621
33.54	-8.316
33.56	-4.235
33.58	3.363
33.60	11.388
33.62	17.579
33.64	18.749
33.66	18.419
33.68	18.020
33.70	16.652
33.72	12.008
33.74	8.353
33.76	6.881
33.78	4.569
33.80	8.095
33.82	15.067
33.84	14.998
33.86	8.875
33.88	0.984
33.90	-7.265
33.92	-13.219
33.94	-13.246
33.96	-5.448
33.98	5.724
34.00	12.421
34.02	14.403
34.04	17.371
34.06	16.654
34.08	10.657
34.10	6.912
34.12	3.047
34.14	-6.146
34.16	-17.195
34.18	-17.417
34.20	-9.399
34.22	-3.701
34.24	-5.321
34.26	-13.703
34.28	-17.188
34.30	-15.430
34.32	-10.553
34.34	-8.373
34.36	-9.059
34.38	-7.870
34.40	-1.182
34.42	10.817
34.44	15.823
34.46	14.034
34.48	9.521
34.50	7.119
34.52	6.927
34.54	3.981
34.56	2.453
34.58	5.235
34.60	7.499
34.62	6.917
34.64	7.485
34.66	3.806
34.68	-0.688
34.70	-1.136
34.72	1.678
34.74	6.961
34.76	5.978
34.78	3.992
34.80	1.807
34.82	1.066
34.84	1.596
34.86	2.807
34.88	6.460
34.90	7.214
34.92	6.810
34.94	9.790
34.96	12.976
34.98	11.170
35.00	9.697
35.02	14.197
35.04	18.418
35.06	18.232
35.08	15.566
35.10	12.928
35.12	8.926
35.14	-0.587
35.16	-7.043
35.18	-9.592
35.20	-7.097
35.22	-0.923
35.24	4.111
35.26	9.844
35.28	14.109
35.30	10.501
35.32	0.840
35.34	-7.841
35.36	-12.014
35.38	-12.230
35.40	-8.162
35.42	1.353
35.44	4.449
35.46	3.501
35.48	3.757
35.50	4.436
35.52	1.783
35.54	-8.224
35.56	-19.864
35.58	-27.884
35.60	-27.094
35.62	-20.504
35.64	-13.055
35.66	-9.264
35.68	-3.164
35.70	8.380
35.72	15.219
35.74	11.653
35.76	-1.268
35.78	-12.691
35.80	-18.075
35.82	-13.156
35.84	-2.787
35.86	3.413
35.88	3.875
35.90	1.807
35.92	3.729
35.94	6.657
35.96	5.521
35.98	3.657
36.00	7.396
36.02	13.042
36.04	17.570
36.06	20.116
36.08	21.148
36.10	26.335
36.12	30.454
36.14	31.193
36.16	23.955
36.18	13.085
36.20	9.350
36.22	10.574
36.24	18.855
36.26	27.425
36.28	29.141
36.30	25.083
36.32	18.112
36.34	9.568
36.36	1.887
36.38	-0.601
36.40	2.125
36.42	5.333
36.44	8.761
36.46	11.038
36.48	8.835
36.50	5.426
36.52	3.734
36.54	3.081
36.56	-0.457
36.58	-6.477
36.60	-9.770
36.62	-9.828
36.64	-9.767
36.66	-12.150
36.68	-12.270
36.70	-13.177
36.72	-15.236
36.74	-14.884
36.76	-15.132
36.78	-14.768
36.80	-12.483
36.82	-9.707
36.84	-12.780
36.86	-17.257
36.88	-16.487
36.90	-13.170
36.92	-12.194
36.94	-12.508
36.96	-14.773
36.98	-20.719
37.00	-23.191
37.02	-23.437
37.04	-21.808
37.06	-20.842
37.08	-21.361
37.10	-19.552
37.12	-20.294
37.14	-23.740
37.16	-25.771
37.18	-26.416
37.20	-28.448
37.22	-31.112
37.24	-28.823
37.26	-25.119
37.28	-22.791
37.30	-18.842
37.32	-13.701
37.34	-9.458
37.36	-6.172
37.38	-2.551
37.40	-0.171
37.42	3.604
37.44	6.358
37.46	5.750
37.48	0.959
37.50	-2.132
37.52	-1.145
37.54	2.957
37.56	6.808
37.58	8.693
37.60	7.464
37.62	5.098
37.64	1.332
37.66	-2.277
37.68	-2.727
37.70	-1.725
37.72	3.452
37.74	10.505
37.76	17.072
37.78	19.125
37.80	18.624
37.82	16.004
37.84	11.889
37.86	8.645
37.88	8.117
37.90	10.252
37.92	12.390
37.94	13.732
37.96	11.597
37.98	5.582
38.00	0.183
38.02	-4.528
38.04	-4.489
38.06	-0.509
38.08	3.786
38.10	4.449
38.12	0.588
38.14	-1.055
38.16	-0.537
38.18	2.393
38.20	4.942
38.22	7.007
38.24	7.228
38.26	5.368
38.28	1.801
38.30	-0.109
38.32	-0.064
38.34	-2.229
38.36	-4.249
38.38	-6.611
38.40	-9.435
38.42	-10.893
38.44	-11.065
38.46	-10.782
38.48	-13.875
38.50	-18.345
38.52	-21.323
38.54	-21.578
38.56	-20.288
38.58	-22.249
38.60	-22.618
38.62	-19.047
38.64	-14.467
38.66	-9.788
38.68	-5.214
38.70	-2.124
38.72	2.880
38.74	8.008
38.76	12.245
38.78	15.003
38.80	16.084
38.82	14.587
38.84	12.389
38.86	12.392
38.88	12.528
38.90	11.387
38.92	8.749
38.94	5.923
38.96	3.352
38.98	3.416
39.00	5.316
39.02	9.142
39.04	12.927
39.06	16.188
39.08	16.604
39.10	15.057
39.12	15.103
39.14	11.969
39.16	5.028
39.18	-3.194
39.20	-6.901
39.22	-6.392
39.24	-6.793
39.26	-6.385
39.28	-7.605
39.30	-9.142
39.32	-9.671
39.34	-10.690
39.36	-10.872
39.38	-11.865
39.40	-12.173
39.42	-14.316
39.44	-17.206
39.46	-20.263
39.48	-22.346
39.50	-19.652
39.52	-12.722
39.54	-4.947
39.56	-1.800
39.58	-1.280
39.60	-1.517
39.62	-1.175
39.64	0.734
39.66	3.310
39.68	6.940
39.70	11.102
39.72	15.023
39.74	18.172
39.76	21.092
39.78	21.865
39.80	21.450
39.82	19.866
39.84	17.761
39.86	17.625
39.88	18.254
39.90	20.483
39.92	23.072
39.94	25.165
39.96	22.798
39.98	15.301
40.00	8.087
40.02	5.205
40.04	5.225
40.06	6.003
40.08	7.723
40.10	9.284
40.12	8.670
40.14	6.483
40.16	7.333
40.18	10.686
40.20	13.086
40.22	11.725
40.24	6.971
40.26	3.020
40.28	1.036
40.30	2.901
40.32	6.139
40.34	7.616
40.36	8.683
40.38	9.085
40.40	9.422
40.42	8.435
40.44	5.006
40.46	3.395
40.48	1.998
40.50	0.957
40.52	1.399
40.54	-0.716
40.56	-1.708
40.58	-1.345
40.60	-1.138
40.62	-3.612
40.64	-8.807
40.66	-9.839
40.68	-9.355
40.70	-7.089
40.72	-2.475
40.74	-0.324
40.76	-0.247
40.78	-1.074
40.80	-2.711
40.82	-4.924
40.84	-6.996
40.86	-9.058
40.88	-8.931
40.90	-9.105
40.92	-12.618
40.94	-17.982
40.96	-21.275
40.98	-22.104
41.00	-23.047
41.02	-24.462
41.04	-27.613
41.06	-30.860
41.08	-33.655
41.10	-34.225
41.12	-33.222
41.14	-30.049
41.16	-25.754
41.18	-22.968
41.20	-20.303
41.22	-16.967
41.24	-13.784
41.26	-11.022
41.28	-9.721
41.30	-10.780
41.32	-11.397
41.34	-9.250
41.36	-4.124
41.38	1.988
41.40	6.242
41.42	5.649
41.44	3.594
41.46	3.563
41.48	5.525
41.50	8.944
41.52	12.199
41.54	14.558
41.56	12.895
41.58	11.849
41.60	12.670
41.62	15.425
41.64	18.331
41.66	18.940
41.68	18.530
41.70	17.721
41.72	18.585
41.74	21.748
41.76	24.428
41.78	24.144
41.80	23.000
41.82	20.591
41.84	19.106
41.86	19.402
41.88	21.432
41.90	22.105
41.92	23.537
41.94	25.583
41.96	27.456
41.98	28.706
42.00	28.661
42.02	29.066
42.04	25.993
42.06	19.552
42.08	13.817
42.10	12.487
42.12	11.530
42.14	8.420
42.16	6.287
42.18	5.647
42.20	5.596
42.22	5.633
42.24	3.999
42.26	0.640
42.28	-2.894
42.30	-4.085
42.32	-3.814
42.34	-2.792
42.36	-2.686
42.38	-4.123
42.40	-6.997
42.42	-11.387
42.44	-14.671
42.46	-16.752
42.48	-16.892
42.50	-17.881
42.52	-19.547
42.54	-21.410
42.56	-22.462
42.58	-22.622
42.60	-23.845
42.62	-23.094
42.64	-21.930
42.66	-20.231
42.68	-16.853
42.70	-16.530
42.72	-14.308
42.74	-10.975
42.76	-6.612
42.78	-0.989
42.80	3.422
42.82	6.089
42.84	6.686
42.86	4.963
42.88	1.208
42.90	-0.585
42.92	-3.254
42.94	-6.017
42.96	-9.245
42.98	-11.199
43.00	-12.856
43.02	-15.676
43.04	-17.188
43.06	-17.913
43.08	-17.833
43.10	-17.038
43.12	-14.193
43.14	-12.038
43.16	-10.282
43.18	-8.198
43.20	-4.331
43.22	-0.281
43.24	-0.067
43.26	-1.652
43.28	-2.818
43.30	-2.618
43.32	-2.587
43.34	-2.906
43.36	-3.086
43.38	-3.815
43.40	-5.626
43.42	-8.233
43.44	-9.762
43.46	-10.042
43.48	-9.800
43.50	-8.816
43.52	-6.536
43.54	-5.404
43.56	-6.458
43.58	-9.069
43.60	-9.483
43.62	-7.253
43.64	-5.068
43.66	-4.068
43.68	-3.363
43.70	-1.947
43.72	-1.469
43.74	-1.234
43.76	-0.379
43.78	-0.804
43.80	-1.682
43.82	0.299
43.84	6.029
43.86	11.222
43.88	14.156
43.90	15.837
43.92	16.189
43.94	16.274
43.96	15.638
43.98	14.061
44.00	12.284
44.02	13.276
44.04	14.725
44.06	14.656
44.08	13.789
44.10	12.049
44.12	8.611
44.14	3.871
44.16	0.320
44.18	0.694
44.20	3.703
44.22	5.703
44.24	7.044
44.26	6.199
44.28	5.496
44.30	5.493
44.32	6.064
44.34	5.937
44.36	3.940
44.38	2.668
44.40	4.416
44.42	6.445
44.44	3.836
44.46	-1.472
44.48	-4.451
44.50	-2.779
44.52	0.425
44.54	3.148
44.56	4.641
44.58	6.793
44.60	7.399
44.62	7.266
44.64	6.497
44.66	3.186
44.68	1.195
44.70	2.199
44.72	4.290
44.74	4.497
44.76	4.430
44.78	2.637
44.80	3.479
44.82	6.548
44.84	8.979
44.86	8.863
44.88	5.917
44.90	3.568
44.92	0.464
44.94	-0.694
44.96	-0.518
44.98	0.930
45.00	1.982
45.02	3.184
45.04	4.799
45.06	4.750
45.08	4.019
45.10	2.235
45.12	1.914
45.14	-0.784
45.16	-3.394
45.18	-3.513
45.20	-1.178
45.22	-1.296
45.24	-4.383
45.26	-6.918
45.28	-9.158
45.30	-7.115
45.32	-5.924
45.34	-6.524
45.36	-8.659
45.38	-8.743
45.40	-9.697
45.42	-12.244
45.44	-16.066
45.46	-20.199
45.48	-20.361
45.50	-19.161
45.52	-18.967
45.54	-18.955
45.56	-16.549
45.58	-13.136
45.60	-8.560
45.62	-6.208
45.64	-6.073
45.66	-4.273
45.68	-3.303
45.70	-3.473
45.72	-3.477
45.74	-2.262
45.76	0.619
45.78	2.777
45.80	3.605
45.82	1.547
45.84	-0.533
45.86	2.009
45.88	5.223
45.90	8.657
45.92	10.583
45.94	9.876
45.96	8.378
45.98	5.173
46.00	5.883
46.02	7.484
46.04	8.539
46.06	10.373
46.08	11.841
46.10	15.091
46.12	15.702
46.14	15.791
46.16	15.403
46.18	14.291
46.20	12.976
46.22	10.919
46.24	10.137
46.26	10.564
46.28	13.837
46.30	16.389
46.32	16.783
46.34	14.817
46.36	11.509
46.38	10.197
46.40	10.085
46.42	11.927
46.44	13.702
46.46	12.881
46.48	11.237
46.50	8.129
46.52	4.936
46.54	2.693
46.56	3.108
46.58	3.751
46.60	2.815
46.62	0.495
46.64	-0.271
46.66	-1.315
46.68	-2.812
46.70	-4.177
46.72	-5.918
46.74	-5.884
46.76	-4.989
46.78	-3.098
46.80	-3.251
46.82	-3.195
46.84	-4.870
46.86	-5.730
46.88	-6.100
46.90	-6.002
46.92	-5.879
46.94	-5.587
46.96	-2.980
46.98	-0.697
47.00	0.166
47.02	1.012
47.04	1.477
47.06	0.371
47.08	-0.024
47.10	-0.475
47.12	-0.102
47.14	-0.513
47.16	-3.194
47.18	-5.788
47.20	-7.690
47.22	-9.839
47.24	-11.193
47.26	-11.277
47.28	-11.287
47.30	-11.030
47.32	-9.998
47.34	-10.495
47.36	-12.321
47.38	-13.977
47.40	-16.122
47.42	-16.858
47.44	-15.835
47.46	-13.839
47.48	-14.421
47.50	-16.693
47.52	-16.543
47.54	-14.532
47.56	-11.350
47.58	-8.835
47.60	-8.454
47.62	-8.382
47.64	-7.858
47.66	-8.417
47.68	-10.474
47.70	-11.948
47.72	-13.410
47.74	-13.943
47.76	-13.885
47.78	-13.833
47.80	-13.208
47.82	-12.008
47.84	-11.310
47.86	-11.332
47.88	-11.166
47.90	-10.957
47.92	-7.223
47.94	-2.661
47.96	1.062
47.98	2.433
48.00	2.473
48.02	1.189
48.04	-1.135
48.06	-3.139
48.08	-2.252
48.10	-0.320
48.12	-0.077
48.14	2.165
48.16	2.409
48.18	2.386
48.20	2.422
48.22	2.325
48.24	4.146
48.26	7.159
48.28	9.832
48.30	10.885
48.32	13.191
48.34	17.108
48.36	18.902
48.38	18.684
48.40	18.886
48.42	17.126
48.44	15.895
48.46	14.298
48.48	12.213
48.50	10.455
48.52	7.125
48.54	5.099
48.56	5.834
48.58	7.969
48.60	7.801
48.62	6.746
48.64	5.592
48.66	7.600
48.68	10.486
48.70	11.302
48.72	12.882
48.74	13.498
48.76	15.723
48.78	16.344
48.80	16.082
48.82	14.828
48.84	11.649
48.86	11.529
48.88	13.600
48.90	15.227
48.92	14.308
48.94	12.808
48.96	11.181
48.98	10.753
49.00	10.940
49.02	10.818
49.04	10.922
49.06	10.809
49.08	10.960
49.10	10.424
49.12	7.775
49.14	5.163
49.16	3.021
49.18	0.848
49.20	-0.524
49.22	-3.414
49.24	-6.287
49.26	-7.772
49.28	-8.242
49.30	-7.781
49.32	-7.161
49.34	-6.905
49.36	-7.163
49.38	-6.481
49.40	-5.524
49.42	-5.802
49.44	-3.829
49.46	-2.726
49.48	-2.999
49.50	-2.868
49.52	-2.990
49.54	-3.061
49.56	-2.063
49.58	-1.631
49.60	-2.940
49.62	-3.907
49.64	-5.493
49.66	-5.794
49.68	-5.799
49.70	-5.766
49.72	-5.825
49.74	-5.745
49.76	-5.775
49.78	-5.568
49.80	-6.621
49.82	-8.572
49.84	-8.310
49.86	-8.583
49.88	-9.658
49.90	-10.562
49.92	-11.018
49.94	-11.190
49.96	-11.402
49.98	-12.803
50.00	-13.858
50.02	-14.598
50.04	-16.191
50.06	-16.542
50.08	-16.472
50.10	-14.541
50.12	-13.688
50.14	-13.664
50.16	-11.348
50.18	-10.986
50.20	-11.047
50.22	-11.166
50.24	-9.701
50.26	-7.315
50.28	-5.613
50.30	-4.083
50.32	-4.975
50.34	-6.084
50.36	-5.531
50.38	-6.804
50.40	-8.538
50.42	-8.629
50.44	-8.313
50.46	-6.135
50.48	-2.647
50.50	1.239
50.52	2.542
50.54	1.681
50.56	-0.282
50.58	-0.369
50.60	2.631
50.62	6.462
50.64	7.905
50.66	7.702
50.68	6.989
50.70	6.246
50.72	5.218
50.74	1.556
50.76	-0.560
50.78	-0.593
50.80	0.305
50.82	3.223
50.84	6.110
50.86	7.814
50.88	7.666
50.90	8.120
50.92	9.792
50.94	10.551
50.96	11.801
50.98	13.143
51.00	13.098
51.02	13.347
51.04	12.387
51.06	10.406
51.08	10.294
51.10	10.569
51.12	10.907
51.14	10.912
51.16	11.165
51.18	13.399
51.20	14.063
51.22	14.144
51.24	13.304
51.26	11.616
51.28	10.334
51.30	8.732
51.32	5.466
51.34	3.137
51.36	5.193
51.38	8.860
51.40	11.205
51.42	9.233
51.44	3.732
51.46	-1.794
51.48	-5.278
51.50	-7.326
51.52	-7.690
51.54	-7.337
51.56	-8.543
51.58	-9.942
51.60	-8.236
51.62	-6.876
51.64	-6.485
51.66	-7.099
51.68	-7.318
51.70	-6.795
51.72	-4.506
51.74	-0.912
51.76	2.125
51.78	3.755
51.80	4.039
51.82	4.097
51.84	4.037
51.86	4.860
51.88	4.463
51.90	3.759
51.92	1.588
51.94	-0.755
51.96	-1.458
51.98	-1.538
52.00	-1.401
52.02	-1.942
52.04	-3.415
52.06	-4.248
52.08	-4.058
52.10	-4.274
52.12	-2.861
52.14	-1.349
52.16	-2.181
52.18	-3.544
52.20	-4.190
52.22	-3.280
52.24	-2.611
52.26	-3.924
52.28	-3.954
52.30	-5.058
52.32	-5.341
52.34	-4.067
52.36	-4.013
52.38	-4.045
52.40	-3.944
52.42	-3.994
52.44	-3.730
52.46	-3.733
52.48	-3.948
52.50	-3.929
52.52	-3.079
52.54	-1.231
52.56	-1.138
52.58	-0.544
52.60	0.862
52.62	0.920
52.64	1.516
52.66	1.476
52.68	3.361
52.70	4.404
52.72	4.195
52.74	3.376
52.76	1.763
52.78	3.206
52.80	5.764
52.82	6.937
52.84	7.030
52.86	6.803
52.88	4.749
52.90	3.900
52.92	2.150
52.94	0.848
52.96	-1.822
52.98	-4.823
53.00	-6.436
53.02	-6.595
53.04	-5.343
53.06	-4.583
53.08	-2.365
53.10	-1.235
53.12	0.084
53.14	1.151
53.16	2.449
53.18	4.136
53.20	4.417
53.22	5.517
53.24	4.791
53.26	4.193
53.28	3.924
53.30	0.664
53.32	-3.484
53.34	-7.770
53.36	-9.540
53.38	-7.497
53.40	-4.274
53.42	-1.316
53.44	-0.860
53.46	-1.911
53.48	-3.927
53.50	-4.092
53.52	-4.001
53.54	-4.074
53.56	-4.088
53.58	-3.103
53.60	0.703
53.62	3.603
53.64	4.337
53.66	3.426
53.68	1.754
53.70	-0.338
53.72	-0.374
53.74	1.770
53.76	4.281
53.78	7.035
53.80	6.326
53.82	4.509
53.84	1.821
53.86	1.910
53.88	4.927
53.90	7.903
53.92	8.992
53.94	6.324
53.96	4.292
53.98	4.023
54.00	6.074
54.02	7.012
54.04	6.276
54.06	4.437
54.08	3.341
54.10	4.031
54.12	6.641
54.14	7.857
54.16	5.492
54.18	1.130
54.20	-3.329
54.22	-4.584
54.24	-2.535
54.26	2.113
54.28	5.470
54.30	7.776
54.32	8.368
54.34	7.155
54.36	6.244
54.38	4.072
54.40	0.831
54.42	-2.953
54.44	-6.447
54.46	-6.357
54.48	-4.131
54.50	-1.827
54.52	-1.081
54.54	-2.845
54.56	-4.556
54.58	-6.285
54.60	-6.561
54.62	-4.831
54.64	-1.384
54.66	-0.655
54.68	-3.522
54.70	-7.635
54.72	-9.068
54.74	-8.719
54.76	-5.568
54.78	-2.876
54.80	-2.994
54.82	-3.355
54.84	-4.970
54.86	-5.588
54.88	-5.872
54.90	-6.728
54.92	-6.654
54.94	-5.276
54.96	-5.651
54.98	-4.425
55.00	-3.480
55.02	-4.888
55.04	-5.102
55.06	-2.883
55.08	-2.179
55.10	-2.168
55.12	-0.042
55.14	1.806
55.16	3.371
55.18	5.389
55.20	6.018
55.22	3.765
55.24	3.318
55.26	1.112
55.28	0.697
55.30	0.515
55.32	1.724
55.34	3.608
55.36	3.602
55.38	2.499
55.40	0.531
55.42	0.917
55.44	0.650
55.46	0.891
55.48	-1.040
55.50	-2.345
55.52	-2.039
55.54	-3.218
55.56	-4.863
55.58	-7.036
55.60	-8.036
55.62	-7.782
55.64	-6.899
55.66	-4.814
55.68	-2.683
55.70	-1.830
55.72	-2.017
55.74	-1.773
55.76	-1.892
55.78	-1.742
55.80	-1.838
55.82	-1.589
55.84	-1.975
55.86	-0.576
55.88	1.077
55.90	2.553
55.92	4.309
55.94	6.092
55.96	6.901
55.98	6.056
56.00	7.277
56.02	7.348
56.04	6.067
56.06	3.902
56.08	3.575
56.10	2.689
56.12	3.185
56.14	3.643
56.16	3.730
56.18	1.895
56.20	0.859
56.22	3.362
56.24	3.653
56.26	3.546
56.28	1.905
56.30	-0.842
56.32	-4.080
56.34	-4.650
56.36	-4.288
56.38	-1.904
56.40	-2.236
56.42	-4.542
56.44	-6.387
56.46	-7.500
56.48	-6.942
56.50	-7.467
56.52	-5.701
56.54	-5.747
56.56	-7.323
56.58	-7.104
56.60	-8.609
56.62	-9.953
56.64	-10.000
56.66	-9.077
56.68	-6.138
56.70	-1.724
56.72	1.587
56.74	3.643
56.76	3.658
56.78	3.666
56.80	3.622
56.82	1.679
56.84	0.562
56.86	-1.270
56.88	-2.003
56.90	-1.347
56.92	-1.716
56.94	-1.592
56.96	-2.495
56.98	-4.662
57.00	-4.351
57.02	-4.649
57.04	-4.270
57.06	-5.179
57.08	-7.040
57.10	-7.341
57.12	-6.452
57.14	-4.570
57.16	-2.102
57.18	-2.776
57.20	-2.735
57.22	-0.639
57.24	1.646
57.26	3.379
57.28	5.547
57.30	5.745
57.32	3.789
57.34	6.411
57.36	5.503
57.38	3.578
57.40	3.541
57.42	3.379
57.44	3.484
57.46	3.390
57.48	3.400
57.50	4.894
57.52	7.076
57.54	8.767
57.56	7.223
57.58	5.743
57.60	6.153
57.62	5.861
57.64	6.430
57.66	8.450
57.68	9.051
57.70	8.519
57.72	6.422
57.74	6.060
57.76	6.567
57.78	8.907
57.80	11.378
57.82	11.580
57.84	11.495
57.86	11.398
57.88	11.423
57.90	9.875
57.92	10.823
57.94	11.648
57.96	12.705
57.98	12.635
58.00	12.690
58.02	12.291
58.04	10.685
58.06	9.004
58.08	6.495
58.10	4.052
58.12	2.593
58.14	3.305
58.16	2.049
58.18	0.416
58.20	-1.368
58.22	-2.495
58.24	-2.238
58.26	-2.276
58.28	-2.181
58.30	-2.157
58.32	-2.054
58.34	-2.155
58.36	-2.496
58.38	-4.472
58.40	-4.561
58.42	-4.611
58.44	-4.275
58.46	-5.783
58.48	-7.413
58.50	-7.036
58.52	-7.197
58.54	-7.362
58.56	-7.486
58.58	-7.261
58.60	-9.220
58.62	-10.053
58.64	-9.785
58.66	-10.011
58.68	-9.610
58.70	-10.825
58.72	-12.689
58.74	-12.670
58.76	-10.779
58.78	-9.632
58.80	-9.997
58.82	-9.237
58.84	-7.378
58.86	-7.062
58.88	-7.256
58.90	-7.156
58.92	-7.183
58.94	-4.888
58.96	-4.336
58.98	-4.507
59.00	-4.394
59.02	-4.484
59.04	-4.385
59.06	-4.969
59.08	-6.088
59.10	-5.095
59.12	-2.961
59.14	-0.883
59.16	1.039
59.18	2.397
59.20	5.209
59.22	6.599
59.24	6.419
59.26	6.509
59.28	6.439
59.30	6.512
59.32	6.380
59.34	6.400
59.36	6.287
59.38	6.428
59.40	6.245
59.42	6.369
59.44	6.158
59.46	7.000
59.48	9.333
59.50	7.217
59.52	6.233
59.54	4.822
59.56	3.253
59.58	3.853
59.60	3.278
59.62	3.965
59.64	1.894
59.66	0.829
59.68	0.894
59.70	1.044
59.72	0.738
59.74	1.308
59.76	3.058
59.78	4.749
59.80	6.169
59.82	3.989
59.84	3.254
59.86	2.429
59.88	3.459
59.90	2.052
59.92	0.271
59.94	-1.535
59.96	-2.355
59.98	-1.955
60.00	-2.321
60.02	-2.072
60.04	-4.072
60.06	-5.132
60.08	-3.514
60.10	-1.824
60.12	-2.213
60.14	-1.892
60.16	-2.445
60.18	-4.558
60.20	-4.779
60.22	-4.878
60.24	-2.948
60.26	-1.890
60.28	-2.316
60.30	-2.206
60.32	-2.424
60.34	-2.109
60.36	0.324
60.38	-0.817
60.40	-2.706
60.42	-3.078
60.44	-5.353
60.46	-5.626
60.48	-5.177
60.50	-2.655
60.52	-0.129
60.54	1.928
60.56	2.978
60.58	1.733
60.60	-0.032
60.62	-0.062
60.64	0.036
60.66	-0.104
60.68	0.197
60.70	2.347
60.72	2.956
60.74	2.721
60.76	2.941
60.78	2.779
60.80	3.080
60.82	2.847
60.84	3.399
60.86	2.053
60.88	0.429
60.90	0.662
60.92	0.566
60.94	0.575
60.96	0.455
60.98	0.386
61.00	0.403
61.02	0.238
61.04	0.310
61.06	0.090
61.08	0.398
61.10	-0.983
61.12	-2.612
61.14	-2.384
61.16	-2.346
61.18	-2.340
61.20	-2.156
61.22	-2.332
61.24	-1.988
61.26	-4.019
61.28	-4.782
61.30	-2.903
61.32	-1.833
61.34	0.356
61.36	0.685
61.38	0.280
61.40	-1.684
61.42	-2.280
61.44	-1.989
61.46	-2.190
61.48	-2.006
61.50	-2.082
61.52	-1.914
61.54	-2.071
61.56	-1.830
61.58	-0.168
61.60	1.484
61.62	3.178
61.64	5.144
61.66	6.427
61.68	5.621
61.70	3.939
61.72	3.603
61.74	3.691
61.76	4.949
61.78	4.219
61.80	3.634
61.82	3.821
61.84	3.109
61.86	1.796
61.88	1.291
61.90	1.225
61.92	1.406
61.94	0.727
61.96	-0.999
61.98	-1.612
62.00	-1.031
62.02	0.930
62.04	1.554
62.06	0.736
62.08	-1.352
62.10	-1.455
62.12	-1.357
62.14	0.152
62.16	-0.407
62.18	-2.579
62.20	-5.278
62.22	-6.946
62.24	-6.524
62.26	-6.941
62.28	-5.456
62.30	-3.440
62.32	-1.870
62.34	-1.104
62.36	-1.708
62.38	-3.777
62.40	-4.312
62.42	-5.941
62.44	-6.883
62.46	-5.020
62.48	-4.423
62.50	-3.657
62.52	-2.071
62.54	-0.393
62.56	0.989
62.58	2.035
62.60	2.150
62.62	1.328
62.64	1.590
62.66	1.403
62.68	1.691
62.70	2.914
62.72	3.727
62.74	2.451
62.76	1.734
62.78	0.627
62.80	-1.296
62.82	-1.205
62.84	-1.166
62.86	-1.154
62.88	-1.009
62.90	-1.184
62.92	0.069
62.94	1.964
62.96	2.428
62.98	3.369
63.00	3.100
63.02	2.402
63.04	1.771
63.06	3.226
63.08	4.863
63.10	5.175
63.12	5.973
63.14	4.963
63.16	4.990
63.18	4.966
63.20	5.135
63.22	5.017
63.24	5.348
63.26	4.076
63.28	2.426
63.30	2.557
63.32	1.432
63.34	0.392
63.36	0.002
63.38	-0.166
63.40	-0.116
63.42	0.308
63.44	0.295
63.46	-0.412
63.48	-1.924
63.50	-2.596
63.52	-2.737
63.54	-2.349
63.56	-2.525
63.58	-1.580
63.60	-1.023
63.62	-1.901
63.64	-2.970
63.66	-4.673
63.68	-4.997
63.70	-4.922
63.72	-4.923
63.74	-4.839
63.76	-4.731
63.78	-5.994
63.80	-7.978
63.82	-9.597
63.84	-11.265
63.86	-10.967
63.88	-9.942
63.90	-9.883
63.92	-9.904
63.94	-11.556
63.96	-12.397
63.98	-12.404
64.00	-12.337
64.02	-12.284
64.04	-11.101
64.06	-9.682
64.08	-8.932
64.10	-6.893
64.12	-5.640
64.14	-4.936
64.16	-4.142
64.18	-3.928
64.20	-3.633
64.22	-3.147
64.24	-2.260
64.26	-1.317
64.28	-0.004
64.30	1.751
64.32	1.783
64.34	2.213
64.36	3.447
64.38	4.490
64.40	4.592
64.42	5.807
64.44	7.859
64.46	9.577
64.48	10.669
64.50	11.509
64.52	11.566
64.54	10.559
64.56	10.010
64.58	9.978
64.60	10.053
64.62	10.549
64.64	11.666
64.66	11.439
64.68	10.247
64.70	10.299
64.72	10.398
64.74	10.839
64.76	11.584
64.78	11.220
64.80	11.799
64.82	11.561
64.84	11.805
64.86	10.624
64.88	10.233
64.90	9.760
64.92	7.955
64.94	7.647
64.96	6.889
64.98	6.214
65.00	6.760
65.02	7.776
65.04	7.926
65.06	7.531
65.08	5.514
65.10	5.184
65.12	5.313
65.14	4.237
65.16	2.970
65.18	2.440
65.20	2.447
65.22	2.526
65.24	1.801
65.26	-0.010
65.28	-0.119
65.30	-0.436
65.32	-1.925
65.34	-2.623
65.36	-2.984
65.38	-3.747
65.40	-3.333
65.42	-2.118
65.44	-2.154
65.46	-1.921
65.48	-2.339
65.50	-3.335
65.52	-3.089
65.54	-3.193
65.56	-3.050
