TIME [s]	Accel. [cm/s^2
8.48	5.408
8.50	4.805
8.52	4.240
8.54	0.055
8.56	-3.595
8.58	-1.752
8.60	4.027
8.62	1.293
8.64	-2.971
8.66	-7.161
8.68	-12.021
8.70	-10.802
8.72	-8.481
8.74	-1.439
8.76	8.667
8.78	13.623
8.80	19.097
8.82	18.030
8.84	9.216
8.86	4.124
8.88	8.357
8.90	17.672
8.92	18.947
8.94	9.458
8.96	-0.423
8.98	-3.271
9.00	-3.200
9.02	-7.023
9.04	-17.374
9.06	-23.474
9.08	-22.216
9.10	-20.148
9.12	-19.162
9.14	-14.355
9.16	-6.038
9.18	0.653
9.20	5.342
9.22	9.351
9.24	12.224
9.26	9.483
9.28	6.122
9.30	9.633
9.32	14.899
9.34	10.578
9.36	0.922
9.38	-4.455
9.40	-9.995
9.42	-19.354
9.44	-21.378
9.46	-15.363
9.48	-17.671
9.50	-20.413
9.52	-17.875
9.54	-17.182
9.56	-17.378
9.58	-16.596
9.60	-13.598
9.62	-11.840
9.64	-10.366
9.66	-3.739
9.68	7.845
9.70	22.001
9.72	33.193
9.74	37.013
9.76	32.457
9.78	22.015
9.80	13.327
9.82	2.448
9.84	-8.239
9.86	-18.837
9.88	-19.453
9.90	-1.503
9.92	6.738
9.94	-1.196
9.96	-8.673
9.98	-4.497
10.00	8.045
10.02	13.324
10.04	19.858
10.06	22.073
10.08	17.907
10.10	17.835
10.12	15.305
10.14	14.576
10.16	12.334
10.18	1.385
10.20	-20.632
10.22	-35.172
10.24	-32.346
10.26	-22.104
10.28	-14.639
10.30	-19.275
10.32	-26.584
10.34	-26.674
10.36	-22.860
10.38	-16.693
10.40	-11.949
10.42	-13.219
10.44	-6.964
10.46	7.240
10.48	17.194
10.50	22.756
10.52	27.801
10.54	29.788
10.56	25.044
10.58	16.255
10.60	11.809
10.62	14.222
10.64	5.840
10.66	-6.559
10.68	-18.095
10.70	-28.517
10.72	-22.955
10.74	-10.679
10.76	-3.796
10.78	-7.064
10.80	-12.625
10.82	-9.805
10.84	-4.893
10.86	-4.070
10.88	-4.641
10.90	-8.899
10.92	-6.560
10.94	6.418
10.96	12.179
10.98	5.378
11.00	-5.071
11.02	-13.032
11.04	-11.547
11.06	-2.854
11.08	1.421
11.10	-2.667
11.12	-12.845
11.14	-16.478
11.16	-3.866
11.18	15.064
11.20	25.287
11.22	23.661
11.24	23.315
11.26	29.077
11.28	32.790
11.30	33.865
11.32	30.671
11.34	23.469
11.36	17.587
11.38	19.737
11.40	29.157
11.42	29.751
11.44	22.206
11.46	13.506
11.48	0.994
11.50	-5.213
11.52	-7.944
11.54	-10.217
11.56	-10.036
11.58	-9.874
11.60	-5.293
11.62	3.224
11.64	20.732
11.66	34.908
11.68	24.571
11.70	2.275
11.72	-3.834
11.74	1.340
11.76	-0.230
11.78	-4.727
11.80	-12.403
11.82	-19.541
11.84	-23.948
11.86	-25.464
11.88	-19.999
11.90	-7.507
11.92	-9.949
11.94	-26.569
11.96	-31.816
11.98	-22.584
12.00	-5.535
12.02	7.678
12.04	15.167
12.06	22.250
12.08	14.122
12.10	-6.437
12.12	-8.384
12.14	-4.010
12.16	-4.315
12.18	5.373
12.20	8.610
12.22	0.896
12.24	-4.296
12.26	-6.702
12.28	-5.442
12.30	-10.616
12.32	-12.541
12.34	-6.670
12.36	-0.148
12.38	4.484
12.40	0.261
12.42	-9.996
12.44	-18.747
12.46	-13.279
12.48	-3.952
12.50	-1.358
12.52	-2.267
12.54	-7.140
12.56	-5.861
12.58	-1.683
12.60	3.672
12.62	10.480
12.64	13.626
12.66	12.123
12.68	10.796
12.70	11.192
12.72	11.222
12.74	14.180
12.76	12.191
12.78	1.766
12.80	-3.683
12.82	-2.753
12.84	-11.820
12.86	-21.788
12.88	-27.174
12.90	-32.090
12.92	-36.690
12.94	-40.661
12.96	-39.783
12.98	-26.042
13.00	-5.606
13.02	-0.987
13.04	0.459
13.06	12.212
13.08	15.355
13.10	5.716
13.12	-6.975
13.14	-20.622
13.16	-29.040
13.18	-29.022
13.20	-24.175
13.22	-14.629
13.24	-2.992
13.26	2.789
13.28	2.621
13.30	-0.752
13.32	-9.147
13.34	-10.565
13.36	-8.566
13.38	-11.746
13.40	-14.806
13.42	-14.478
13.44	-2.252
13.46	12.534
13.48	9.624
13.50	3.223
13.52	13.085
13.54	27.591
13.56	35.676
13.58	38.041
13.60	38.058
13.62	35.329
13.64	27.661
13.66	17.959
13.68	7.975
13.70	-1.722
13.72	-12.416
13.74	-24.704
13.76	-33.354
13.78	-33.912
13.80	-23.550
13.82	-8.303
13.84	4.880
13.86	12.097
13.88	20.986
13.90	31.308
13.92	37.459
13.94	29.874
13.96	19.056
13.98	20.245
14.00	20.165
14.02	13.800
14.04	7.361
14.06	8.132
14.08	8.258
14.10	8.951
14.12	11.962
14.14	15.839
14.16	19.954
14.18	21.047
14.20	10.764
14.22	-6.322
14.24	-10.082
14.26	0.550
14.28	10.406
14.30	13.644
14.32	7.417
14.34	-5.601
14.36	-14.572
14.38	-8.239
14.40	-0.347
14.42	-5.542
14.44	-8.521
14.46	-11.921
14.48	-12.943
14.50	-6.060
14.52	-0.176
14.54	-3.002
14.56	-12.796
14.58	-21.098
14.60	-32.887
14.62	-37.970
14.64	-34.958
14.66	-18.278
